AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002363,95.1,57.7944,146.8606,98.8,60.8275,151.0852,89.9,53.8302,140.807,66.9,36.8893,111.1585,64.3,35.2269,107.1759,69.2,38.6594,113.6791,138.2,73.6438,234.7344,172.1,98.2151,278.4853,166.5,94.2875,271.6696,125.3,64.9271,216.9851,118.4,60.4048,206.4742,137,73.7584,230.2661,57.3,21.7982,120.2578,36.7,11.0134,87.4289,25,5.0795,73.2448,16.2,1.7857,59.0437,15.6,1.6502,57.0629,8.4,0.2068,46.8295
MSOA,E02002364,226.3,165.3374,302.0989,165,114.0717,230.5784,169.9,118.6327,235.454,141.8,95.3992,202.5129,123.7,80.7174,181.0465,119.1,77.738,174.2844,302,201.7241,433.2055,200.1,122.7511,306.6033,207.3,130.236,311.9566,173.7,101.9443,274.9722,149,83.1242,244.9409,159.1,92.5274,253.9621,148.4,84.4812,241.4907,124,65.6034,212.6838,125.9,66.485,216.1303,110.8,56.5621,194.6113,99.2,48.9623,178.3755,80.1,36.1388,152.8626
MSOA,E02002366,107.4,73.2487,151.894,124.8,87.6894,172.2522,100.5,67.5967,143.7463,108.1,73.786,152.806,85.1,54.9553,125.7822,76.9,48.6621,115.5051,164,103.2216,247.0927,193.1,126.7,281.6896,139.2,84.3973,215.8639,149.2,91.9249,228.6678,116.5,66.4286,189.4235,104.9,58.5595,173.2411,58.5,26.6708,111.1822,66.2,31.665,121.8739,66.9,31.9599,123.2269,73.3,36.4654,131.352,58.8,26.7423,111.8604,51.8,22.2839,102.2027
MSOA,E02002367,172.1,116.8702,244.0562,148.3,96.6869,217.5455,134.3,84.9615,201.7528,149.3,97.8605,217.9297,124.7,78.4626,187.9131,119.4,75.072,180.0026,253.6,160.2613,380.3584,208.9,123.143,331.0987,170.3,92.7994,286.1909,177.6,100.3715,290.0748,149.1,80.1473,252.2088,141.1,75.8397,238.6872,90.5,38.9572,178.5163,89.9,38.6728,177.3773,102.1,46.5576,194.0311,122.2,60.6211,219.2495,101,45.8083,192.3507,99.2,44.9192,189.0429
MSOA,E02002368,68,42.4165,103.2265,61.5,37.4033,95.2091,81.9,53.808,119.3798,68.3,43.1385,102.6994,60,37.0353,91.8629,77.4,50.8448,112.8294,82,43.2838,140.7962,75.1,38.486,131.678,106.3,61.621,170.6325,91,50.6473,150.5105,75.5,39.9718,129.4547,85.8,47.7507,141.9136,55.1,25.0166,104.8926,48.1,20.5647,95.1202,58.3,27.6783,107.6652,45.9,19.6098,90.794,44.5,19.0603,87.9416,68.9,35.4328,120.6154
MSOA,E02002369,173,125.8368,231.9256,153.1,109.0681,208.8699,144.9,102.1864,199.337,143.6,100.8218,198.2992,139.9,97.1557,194.9402,144.7,101.4058,200.059,224,148.9063,323.1672,198.8,128.8703,292.6195,191.9,123.1808,284.6409,196.4,126.3811,290.895,178.1,110.8939,270.6375,179.6,112.8858,270.8078,121.9,69.5843,198.0921,106.4,58.1059,178.6167,96.3,51.1558,164.858,90.1,46.4251,157.5889,102.3,54.3124,175.1762,108.1,58.6878,181.9887
MSOA,E02002370,135.4,91.6431,192.6535,142.5,97.5724,200.7952,141.2,96.1918,199.839,138.7,94.4264,196.3818,152.5,105.7206,212.736,137.1,93.2273,194.2596,233.9,148.3203,350.1213,235.4,150.6404,349.7885,244.8,158.6261,360.4132,237.3,153.6543,349.5213,237.3,153.5053,349.7213,198,122.7212,301.653,57.2,22.8883,118.0473,65.1,27.9669,128.5097,50.2,18.3023,109.4877,50.8,18.5291,110.7813,76.4,34.7915,145.2684,82.3,39.1685,151.8323
MSOA,E02002371,166.5,124.9739,217.1887,165.3,123.9652,215.7552,154.5,114.0426,204.3625,155.7,114.6008,206.3536,167.4,124.1456,220.3938,149.4,108.1917,200.5191,228.4,159.5918,316.383,235.6,165.7303,324.3652,220.4,151.5542,309.05,218.1,147.5027,309.7026,258.6,179.1933,359.8012,232.2,154.8522,332.9726,106,62.7415,167.0527,96.2,55.0614,155.4347,93.5,52.3477,153.4338,100.6,58.3876,160.7502,88.6,49.7114,145.2369,82.4,45.6872,135.8682
MSOA,E02002373,123.6,57.7657,229.7315,148.4,74.9684,261.8705,159.9,83.3855,276.0984,157.4,83.9819,267.1861,141.7,73.2882,243.9998,154.2,82.3027,260.2312,153.6,58.4903,322.2644,154.5,58.6814,324.4216,151.9,57.1569,319.9143,156,61.9415,316.6174,116.7,38.415,262.207,157.8,64.0601,317.8734,88.1,17.5686,258.918,145.3,46.5638,340.2957,177.9,64.501,388.6728,173.1,62.8251,378.066,185.7,72.0516,379.7698,156.3,54.9045,336.1115
MSOA,E02002374,139.1,92.7013,200.3731,114.2,72.6533,170.6223,108.7,69.427,161.7015,113.5,72.6523,168.6266,118.1,77.0636,172.85,108.8,69.6583,161.6242,173.7,103.2689,273.1027,144.8,81.3243,237.2454,134.5,76.0974,218.5927,155.9,90.1601,249.5755,166.1,99.3402,259.4908,162,95.4191,255.9688,100.5,48.1458,184.9002,81.6,35.1566,160.9084,78.7,33.8528,155.2827,69.2,27.6876,142.8167,66.9,26.7287,138.1385,54.8,19.9916,119.4978
