AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002414,217.8,156.5091,294.9841,224.6,162.1169,303.0713,205.3,145.5212,281.2453,203,143.8114,278.1956,209.3,148.748,285.9939,201.1,141.5223,277.0298,279.4,182.7296,408.3759,226.5,141.0043,344.2208,219.2,136.3875,333.2262,231.2,145.4596,348.4192,233.3,146.7777,351.5882,222.5,138.106,338.7039,160.7,89.7078,265.3964,227.6,140.605,348.3034,189.3,109.9128,303.6081,175.1,99.6272,285.0178,181.5,104.4218,292.4833,174.3,98.356,284.9041
MSOA,E02002415,154,93.1439,238.4363,153.7,92.432,238.7079,137.2,77.6361,222.9648,98.4,49.6207,172.4784,123.6,65.2205,208.6233,118,60.5555,202.7168,112.1,50.6479,211.167,135.3,66.363,241.8253,143.5,68.8831,261.0976,95.7,38.4569,193.4502,148.9,68.2502,276.0057,169.8,83.1899,301.33,218,105.9864,394.5355,178.3,78.2498,343.8983,124.7,42.1673,278.1022,96.5,27.4862,232.7965,87.9,19.1777,223.6209,36.2,-2.711,151.8552
MSOA,E02002416,128.3,93.317,172.0077,144.9,107.4725,191.0283,170.4,129.7474,219.6062,155.4,116.7103,202.6264,158,119.3268,205.0413,160.2,120.5712,208.487,141.9,90.1577,212.1684,168.9,111.2627,245.3951,195.7,134.732,274.4999,173.7,116.3044,249.1376,169.8,113.7648,243.4496,186.4,126.6698,264.2195,112.9,69.6957,172.8449,122.7,77.5105,184.4805,148,96.4794,216.7378,140.1,90.3613,206.8307,148.4,97.476,215.9853,136.9,87.1735,204.009
MSOA,E02002417,167.6,122.4824,223.8314,157.4,114.1545,211.5684,162.8,119.3516,216.8223,130.8,92.3268,179.8329,122.2,85.3532,169.4767,131.7,93.8681,179.6171,143,85.7576,223.789,129.4,76.3173,205.0398,120.3,70.9434,190.6302,92.4,50.2561,155.42,96.5,53.7947,159.4801,127.9,77.8451,197.9222,191.8,126.1537,279.3841,184.1,120.0234,270.0669,202,134.9997,290.4792,166.8,106.5887,248.5698,146.8,90.6613,224.6911,135.3,82.4254,209.2667
MSOA,E02002418,182.9,134.2506,243.1153,160.8,116.8471,215.5798,170.3,125.6779,225.4111,159,117.1302,210.8239,147.4,107.9584,196.4404,142.8,104.7496,190.1107,240.1,161.4061,343.0666,203.5,133.9869,295.7564,202.6,134.7716,292.1728,183.2,121.2505,265.4181,158.8,102.5185,234.7555,143.6,90.9406,215.5928,123.6,71.8134,197.3929,116.3,67.7242,185.5178,136.1,83.1268,209.599,134.7,82.4563,207.1868,136.7,84.8897,208.0387,143.4,91.4174,213.9948
MSOA,E02002419,219.1,166.8484,282.447,214.3,162.5266,277.1702,227.2,173.473,292.1302,224.6,171.4065,288.8855,211.9,160.4596,274.3659,219.6,166.6731,283.7657,260.4,180.6365,363.1083,237,161.0267,335.9819,243,165.9534,342.9708,219.8,147.7175,314.1161,227.9,155.198,322.2335,220.6,148.0856,315.4812,178,114.898,263.1602,194.3,127.495,283.4301,213.5,142.3878,307.4094,230.1,155.7511,327.3815,194.9,126.6333,286.4885,217.5,144.8701,313.4136
MSOA,E02002420,152.1,109.4489,205.8108,147.7,105.8156,200.5946,166.6,121.7032,222.5562,164.7,120.2551,220.093,154,111.1,207.8773,124.9,86.6134,174.2001,184.1,117.5079,274.5352,172.3,108.7403,259.195,185.4,118.2462,276.5981,166.3,103.4869,252.7887,171,107.6236,257.6446,155.7,95.5401,239.1704,122,72.1504,193.0328,123.5,73.0979,195.3201,151,94.341,229.0149,165.7,105.8641,246.96,139.7,84.9919,216.2316,97.6,52.9575,164.3563
MSOA,E02002421,185.7,128.8548,258.8973,225.1,161.792,304.8243,238.5,173.4269,319.8023,259.8,191.6153,344.1949,250.3,182.7684,334.4666,265.7,196.1344,351.6179,170.1,97.1971,276.275,192.5,114.0376,304.3044,212.3,129.5125,328.1122,230.5,144.0877,349.4829,235.4,146.9722,357.1581,216.1,132.3957,332.2376,202.5,120.5963,318.0946,258.8,164.746,386.5298,266.7,171.3226,395.4179,291.5,190.8366,425.8032,268.5,171.3768,400.3979,317.4,211.0232,457.8791
MSOA,E02002422,110.5,74.1978,158.2137,113.1,76.5638,160.9056,113.2,76.6326,161.0465,123.9,85.5985,173.4039,116.1,79.7582,163.2548,129.5,91.0543,178.6593,110.6,61.2692,183.3511,118,66.9136,192.4017,129.6,74.8091,208.4924,137.5,81.0438,217.9468,138.4,83.0344,216.5401,152.5,94.1653,233.438,107.6,59.8821,177.9724,106.6,59.3705,176.2521,98.4,53.5195,165.5122,113,64.3883,183.7976,95,51.7156,159.7256,108.7,61.987,176.7324
MSOA,E02002423,195.2,138.9136,266.4912,195.9,139.9115,266.6062,209.6,151.6492,282.188,185,131.0733,253.5106,170.3,119.4647,235.3016,184.4,131.8372,250.78,185.3,109.836,291.8058,195.7,119.3464,301.6388,218.1,136.3999,329.7956,207.5,127.0601,319.1084,227.6,144.6092,340.3054,213.7,134.4041,322.1088,204.2,126.2016,312.4209,193,117.4596,298.6741,200.3,123.6606,306.6353,165.5,97.7719,262.0086,114.8,60.8711,196.6989,155.8,91.9815,246.7377
