"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"348",348,19.0270898319413,42.8347604830505,18,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"349",349,19.0955934177653,42.7511312078361,19,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"350",350,19.1639123440089,42.6674612168851,20,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"351",351,19.2320475575165,42.5837507386196,21,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"352",352,19.3,42.5,22,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"441",441,15,49.75,1,1,21,21.1,203,2013,"Czech Republic","Belarus"
"442",442,15.5760947743202,49.9360985406665,2,1,21,21.1,203,2013,"Czech Republic","Belarus"
"443",443,16.1566219671695,50.1193217075781,3,1,21,21.1,203,2013,"Czech Republic","Belarus"
"444",444,16.7415741286282,50.2996286000526,4,1,21,21.1,203,2013,"Czech Republic","Belarus"
"445",445,17.3309409432692,50.476978235266,5,1,21,21.1,203,2013,"Czech Republic","Belarus"
"446",446,17.9247091384761,50.651329576812,6,1,21,21.1,203,2013,"Czech Republic","Belarus"
"447",447,18.5228623942792,50.8226415645387,7,1,21,21.1,203,2013,"Czech Republic","Belarus"
"448",448,19.1253812550618,50.9908731456539,8,1,21,21.1,203,2013,"Czech Republic","Belarus"
"449",449,19.7322430435023,51.1559833070897,9,1,21,21.1,203,2013,"Czech Republic","Belarus"
"450",450,20.3434217771325,51.3179311091101,10,1,21,21.1,203,2013,"Czech Republic","Belarus"
"451",451,20.9588880879061,51.4766757201418,11,1,21,21.1,203,2013,"Czech Republic","Belarus"
"452",452,21.578609145181,51.6321764527999,12,1,21,21.1,203,2013,"Czech Republic","Belarus"
"453",453,22.2025485825305,51.784392801078,13,1,21,21.1,203,2013,"Czech Republic","Belarus"
"454",454,22.8306664288054,51.9332844786629,14,1,21,21.1,203,2013,"Czech Republic","Belarus"
"455",455,23.4629190438764,52.0788114583305,15,1,21,21.1,203,2013,"Czech Republic","Belarus"
"456",456,24.0992590594897,52.2209340123717,16,1,21,21.1,203,2013,"Czech Republic","Belarus"
"457",457,24.7396353256703,52.35961275399,17,1,21,21.1,203,2013,"Czech Republic","Belarus"
"458",458,25.3839928631077,52.4948086796091,18,1,21,21.1,203,2013,"Czech Republic","Belarus"
"459",459,26.0322728219552,52.6264832120175,19,1,21,21.1,203,2013,"Czech Republic","Belarus"
"460",460,26.6844124474662,52.7545982442739,20,1,21,21.1,203,2013,"Czech Republic","Belarus"
"461",461,27.3403450528862,52.8791161842902,21,1,21,21.1,203,2013,"Czech Republic","Belarus"
"462",462,28,53,22,1,21,21.1,203,2013,"Czech Republic","Belarus"
"463",463,15,49.75,1,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"464",464,15.1489739630793,49.489776403687,2,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"465",465,15.2963718918826,49.2293635319761,3,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"466",466,15.4422235530067,48.9687650933242,4,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"467",467,15.5865580283257,48.7079847061848,5,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"468",468,15.7294037339104,48.4470259016781,6,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"469",469,15.8707884383644,48.1858921261706,7,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"470",470,16.0107392805973,47.9245867437677,8,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"471",471,16.1492827870524,47.6631130387208,9,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"472",472,16.2864448884066,47.4014742177546,10,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"473",473,16.4222509357613,47.1396734123155,11,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"474",474,16.556725716339,46.8777136807452,12,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"475",475,16.6898934687036,46.6155980103827,13,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"476",476,16.8217778975183,46.3533293195952,14,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"477",477,16.9524021878584,46.0909104597439,15,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"478",478,17.0817890190911,45.8283442170837,16,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"479",479,17.2099605783389,45.5656333146021,17,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"480",480,17.336938573538,45.3027804137968,18,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"481",481,17.4627442461069,45.0397881163975,19,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
